open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_by_qav,taker_by_bav,ignored
2018-12-01 00:00:00+00:00,172.800000000,173.470000000,169.580000000,172.080000000,2001.670720000,2018-12-01 01:59:59.999000+00:00,342056.369760700,970.000000000,519.984220000,89267.746505300,0.000000000
2018-12-01 02:00:00+00:00,171.760000000,172.270000000,169.690000000,170.720000000,374.694600000,2018-12-01 03:59:59.999000+00:00,63879.204391100,331.000000000,261.235990000,44497.239198100,0.000000000
2018-12-01 04:00:00+00:00,170.740000000,170.880000000,167.650000000,168.610000000,900.322300000,2018-12-01 05:59:59.999000+00:00,152065.618774800,595.000000000,322.125360000,54442.615269200,0.000000000
2018-12-01 06:00:00+00:00,168.310000000,169.200000000,166.960000000,168.720000000,698.906840000,2018-12-01 07:59:59.999000+00:00,117220.684942100,450.000000000,491.335280000,82418.389051600,0.000000000
2018-12-01 08:00:00+00:00,168.710000000,172.190000000,168.710000000,170.980000000,2123.027350000,2018-12-01 09:59:59.999000+00:00,362751.705393400,940.000000000,1305.607490000,223267.444275500,0.000000000
2018-12-01 10:00:00+00:00,170.630000000,175.450000000,170.340000000,174.910000000,5967.705550000,2018-12-01 11:59:59.999000+00:00,1038481.475903500,2128.000000000,4629.522110000,805519.518404700,0.000000000
2018-12-01 12:00:00+00:00,174.850000000,176.970000000,173.460000000,174.000000000,6139.761090000,2018-12-01 13:59:59.999000+00:00,1073426.741738600,2112.000000000,5124.298310000,895928.060703200,0.000000000
2018-12-01 14:00:00+00:00,173.860000000,175.200000000,173.150000000,174.750000000,3696.052630000,2018-12-01 15:59:59.999000+00:00,643708.294844900,1469.000000000,3144.716010000,547728.308580300,0.000000000
2018-12-01 16:00:00+00:00,174.750000000,178.580000000,174.520000000,175.770000000,3760.994140000,2018-12-01 17:59:59.999000+00:00,662029.698467300,1676.000000000,2769.199030000,486783.114614600,0.000000000
2018-12-01 18:00:00+00:00,175.940000000,177.000000000,174.500000000,175.160000000,666.348680000,2018-12-01 19:59:59.999000+00:00,116899.056783700,588.000000000,226.803760000,39836.408057800,0.000000000
2018-12-01 20:00:00+00:00,175.380000000,175.780000000,173.000000000,174.610000000,649.980620000,2018-12-01 21:59:59.999000+00:00,113186.692876800,820.000000000,328.053950000,57229.601595000,0.000000000
2018-12-01 22:00:00+00:00,174.790000000,174.810000000,172.140000000,172.930000000,806.781220000,2018-12-01 23:59:59.999000+00:00,139914.647784300,818.000000000,256.500640000,44598.018221800,0.000000000
2018-12-02 00:00:00+00:00,172.640000000,176.310000000,172.640000000,175.300000000,1014.260750000,2018-12-02 01:59:59.999000+00:00,177681.802522000,657.000000000,689.922560000,120845.877784300,0.000000000
2018-12-02 02:00:00+00:00,175.300000000,176.370000000,172.060000000,173.230000000,1436.177570000,2018-12-02 03:59:59.999000+00:00,250572.888966400,1037.000000000,699.131620000,122042.561469600,0.000000000
2018-12-02 04:00:00+00:00,173.230000000,173.460000000,169.710000000,170.790000000,1751.959420000,2018-12-02 05:59:59.999000+00:00,299697.612275300,1202.000000000,600.793000000,102838.901333900,0.000000000
2018-12-02 06:00:00+00:00,171.090000000,180.560000000,170.440000000,177.580000000,4215.512690000,2018-12-02 07:59:59.999000+00:00,744866.158107100,2037.000000000,2546.009700000,449816.061015500,0.000000000
2018-12-02 08:00:00+00:00,177.670000000,178.630000000,176.040000000,177.160000000,2963.752360000,2018-12-02 09:59:59.999000+00:00,525974.623215500,1369.000000000,992.020370000,176135.162293100,0.000000000
2018-12-02 10:00:00+00:00,176.810000000,176.810000000,171.140000000,172.500000000,2209.615400000,2018-12-02 11:59:59.999000+00:00,382970.800770100,1672.000000000,930.573400000,161213.372575000,0.000000000
2018-12-02 12:00:00+00:00,172.500000000,173.470000000,171.210000000,171.920000000,1353.159480000,2018-12-02 13:59:59.999000+00:00,233161.559263300,1129.000000000,543.259340000,93636.502058700,0.000000000
