open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_by_qav,taker_by_bav,ignored
2017-08-17 04:00:00+00:00,4261.480000000,4328.690000000,4261.320000000,4315.320000000,70.415925000,2017-08-17 05:59:59.999000+00:00,302670.961960530,273.000000000,56.608574000,243560.757671400,8039.262401520
2017-08-17 06:00:00+00:00,4330.290000000,4349.990000000,4287.410000000,4349.990000000,11.672940000,2017-08-17 07:59:59.999000+00:00,50523.370969750,61.000000000,7.405153000,32086.664239390,8048.127885730
2017-08-17 08:00:00+00:00,4333.320000000,4445.780000000,4333.320000000,4444.000000000,11.736430000,2017-08-17 09:59:59.999000+00:00,51458.859529320,71.000000000,11.073055000,48548.124974600,8037.265288550
2017-08-17 10:00:00+00:00,4441.100000000,4485.390000000,4399.810000000,4427.300000000,51.883452000,2017-08-17 11:59:59.999000+00:00,231042.298220330,177.000000000,47.714578000,212505.926179350,8020.698095800
2017-08-17 12:00:00+00:00,4436.060000000,4459.000000000,4411.000000000,4459.000000000,54.344834000,2017-08-17 13:59:59.999000+00:00,241103.158020630,226.000000000,41.877036000,185858.309681510,8062.532230910
2017-08-17 14:00:00+00:00,4459.000000000,4485.390000000,4333.420000000,4352.340000000,120.217167000,2017-08-17 15:59:59.999000+00:00,533135.640296630,632.000000000,83.307097000,369561.448379590,8133.190657680
2017-08-17 16:00:00+00:00,4352.330000000,4354.840000000,4235.450000000,4289.240000000,127.123703000,2017-08-17 17:59:59.999000+00:00,547509.803072800,590.000000000,77.994271000,336682.037199690,8243.913772830
2017-08-17 18:00:00+00:00,4289.240000000,4335.300000000,4200.740000000,4325.230000000,97.986013000,2017-08-17 19:59:59.999000+00:00,417781.295730860,396.000000000,87.042092000,371126.163721850,8425.112852350
2017-08-17 20:00:00+00:00,4307.560000000,4369.690000000,4258.560000000,4333.550000000,110.748508000,2017-08-17 21:59:59.999000+00:00,478833.822688930,495.000000000,94.035755000,406431.381432940,8635.668853730
2017-08-17 22:00:00+00:00,4333.550000000,4359.130000000,4280.820000000,4285.080000000,139.021405000,2017-08-17 23:59:59.999000+00:00,600710.840242280,506.000000000,109.190930000,471855.587123690,8733.911394810
2017-08-18 00:00:00+00:00,4285.080000000,4340.620000000,4134.610000000,4243.590000000,158.120357000,2017-08-18 01:59:59.999000+00:00,671831.939823250,511.000000000,116.277162000,495619.773240220,8818.617795920
2017-08-18 02:00:00+00:00,4251.950000000,4308.700000000,4234.000000000,4292.390000000,118.072686000,2017-08-18 03:59:59.999000+00:00,503973.634566280,525.000000000,98.378408000,419958.280756310,8878.991160960
2017-08-18 04:00:00+00:00,4292.390000000,4340.620000000,4234.430000000,4313.560000000,114.966801000,2017-08-18 05:59:59.999000+00:00,492104.681761580,634.000000000,91.714438000,392521.259755840,9073.698884920
2017-08-18 06:00:00+00:00,4313.560000000,4316.980000000,4247.750000000,4300.250000000,133.422228000,2017-08-18 07:59:59.999000+00:00,571850.044405960,501.000000000,111.932261000,479887.492008090,9223.823525850
2017-08-18 08:00:00+00:00,4285.000000000,4327.250000000,4259.850000000,4304.150000000,120.483005000,2017-08-18 09:59:59.999000+00:00,517531.722133220,475.000000000,106.720476000,458357.103789600,9304.928284100
2017-08-18 10:00:00+00:00,4304.150000000,4371.520000000,4296.040000000,4340.310000000,75.657124000,2017-08-18 11:59:59.999000+00:00,328064.143909580,405.000000000,60.385256000,261804.237015990,9366.914508070
2017-08-18 12:00:00+00:00,4320.520000000,4340.310000000,4221.050000000,4293.090000000,61.652724000,2017-08-18 13:59:59.999000+00:00,264518.807756430,273.000000000,50.153075000,215249.885920080,9311.969640030
2017-08-18 14:00:00+00:00,4293.090000000,4293.090000000,4193.700000000,4236.890000000,114.316660000,2017-08-18 15:59:59.999000+00:00,484939.718002180,424.000000000,96.925237000,411034.188409110,9371.629886710
2017-08-18 16:00:00+00:00,4234.540000000,4283.790000000,4066.530000000,4193.350000000,107.730290000,2017-08-18 17:59:59.999000+00:00,455163.991015540,361.000000000,87.361689000,369609.175305750,9335.994455980
2017-08-18 18:00:00+00:00,4171.170000000,4297.750000000,4015.700000000,4136.280000000,85.916680000,2017-08-18 19:59:59.999000+00:00,352167.069083630,392.000000000,66.097255000,271485.787616730,9365.312241860
2017-08-18 20:00:00+00:00,4135.000000000,4135.000000000,3938.770000000,3975.690000000,34.706668000,2017-08-18 21:59:59.999000+00:00,139117.893880660,309.000000000,21.204297000,85018.502216450,9359.489349520
2017-08-18 22:00:00+00:00,3996.920000000,4136.480000000,3938.770000000,4108.370000000,74.843041000,2017-08-18 23:59:59.999000+00:00,305694.659833200,423.000000000,65.719156000,268577.630483910,9384.141408580
2017-08-19 00:00:00+00:00,4108.370000000,4184.690000000,4084.280000000,4148.530000000,70.144054000,2017-08-19 01:59:59.999000+00:00,290254.377479740,342.000000000,60.216903000,249203.514143200,9459.897239570
2017-08-19 02:00:00+00:00,4148.530000000,4184.000000000,4103.520000000,4138.550000000,38.366394000,2017-08-19 03:59:59.999000+00:00,159097.044754870,243.000000000,32.182271000,133458.130409520,9468.408177530
2017-08-19 04:00:00+00:00,4138.500000000,4156.000000000,4027.830000000,4077.000000000,29.867426000,2017-08-19 05:59:59.999000+00:00,122788.425534770,164.000000000,21.173494000,87373.161321940,9595.049926900
2017-08-19 06:00:00+00:00,4077.000000000,4082.000000000,3933.210000000,4033.470000000,82.884653000,2017-08-19 07:59:59.999000+00:00,334426.328671570,329.000000000,55.505533000,223587.346903710,9442.592203470
2017-08-19 08:00:00+00:00,4033.470000000,4082.250000000,3964.080000000,4068.200000000,23.190628000,2017-08-19 09:59:59.999000+00:00,93354.707029570,160.000000000,14.195343000,57313.263261870,9449.654523860
2017-08-19 10:00:00+00:00,4054.000000000,4082.000000000,3850.000000000,3957.600000000,54.065414000,2017-08-19 11:59:59.999000+00:00,214461.661084430,321.000000000,30.024241000,119732.601582390,9415.132659050
2017-08-19 12:00:00+00:00,3945.120000000,4100.000000000,3928.890000000,4039.840000000,34.936648000,2017-08-19 13:59:59.999000+00:00,141598.411720730,227.000000000,24.655593000,100013.160856150,9290.216615610
2017-08-19 14:00:00+00:00,4066.000000000,4068.310000000,3964.670000000,3972.050000000,12.578930000,2017-08-19 15:59:59.999000+00:00,50725.525071430,93.000000000,9.159166000,37017.366442450,9232.318003030
2017-08-19 16:00:00+00:00,4036.190000000,4049.690000000,3953.400000000,4027.370000000,7.153725000,2017-08-19 17:59:59.999000+00:00,28570.799062360,64.000000000,4.924104000,19708.907139280,9141.248180840
